pseudoid,weightnet,vacuumed,quantum,quantumunit,geometry,height,density,massinjar,massinjartare,massinjargross,dryweightnet,dryweightpercent,totalvaporizationamount,totalvaporizationvolume,ashweightnet,amounttoashing,ashconcentration,srcarrierconcentration,srcarriervolume,sievedorganicweight,sievedrocksweight,sieveddryweight
66318,325.2,1,0.1376,kg_kp,g-2,26.0,1.23,137.6,26.6,164.2,325.20000000000005,100.0,,,,,,,,,,
54553,421.3,1,0.1623,kg_kp,g-2,26.0,1.45,162.3,26.6,188.9,421.30000000000007,100.0,,,,,,,,,,
74279,165.6,1,0.0195,kg_kp,g-3,8.0,1.76,19.5,7.7,27.2,165.60000000000002,100.0,,,,,,,,,,
78033,,0,0.1468,kg,g-2,5.0,6.83,146.8,1.44,148.24,,,,,,,,,,,,
73459,,0,0.14942,kg,g-2,5.0,6.95,149.42,1.51,150.93,,,,,,,,,,,,
52330,,0,0.1533,kg,g-2,5.0,7.13,153.3,1.45,154.75,,,,,,,,,,,,
77450,,0,1.0,kg,g-8,1.0,1.0,,,,,,,,,,,,,,,
55301,,0,1.0,kg,g-8,1.0,1.0,,,,,,,,,,,,,,,
54995,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
64229,80.3,1,0.0198,kg_kp,g-3,8.0,1.79,19.8,7.8,27.6,80.30000000000001,100.0,,,,,,,,,,
79010,,0,14114.5,m^3,g-8,13.0,1.0,,,,,,,,,,,,,,,
63584,,0,24635.3,m^3,g-8,13.0,0.2,,,,,,,,,,,,,,,
79471,1469.66,0,0.10633,kg,g-2,26.0,0.95,106.33,26.56,132.89,986.46,67.12,,,,,,,,,,982.56
56418,,0,0.0272,kg,g-8,11.0,1.0,,,,,,,,,,,,,,,
51334,,0,0.0691,kg,g-2,10.0,7.1821,69.1,18.1,87.2,,,,,,,,,,,,
70548,,0,0.0756,kg,g-2,10.0,7.8577,75.6,18.1,93.7,,,,,,,,,,,,
73040,1573.56,0,0.11907,kg,g-2,26.0,1.06,119.07,26.57,145.64,1176.86,74.79,,,,,,,,,,1081.41
71638,,0,0.0691,kg,g-3,10.0,7.1821,69.1,11.3,80.4,,,,,,,,,,,,
