pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
69837,,0,8714,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
52935,,0,8714,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
66621,,0,9940,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
62918,,0,9940,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
64540,,0,28743.1,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
53423,,0,3233.9,m^3,g-7,0,1,,,,,,,,,,,,,,,
54166,,0,29312.9,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
60560,,0,3140.1,m^3,g-7,0,1,,,,,,,,,,,,,,,
59541,35.1,0,,,,,,,,,6.870000000000001,19.57,,,,,,,,,,
65903,26.54,0,,,,,,,,,6.76,25.47,,,,,,,,,,
70536,,0,0.8262,kg,g-1,30,1.53,826.2,136.4,962.6,,,,,,,,,,,,
73940,61.71,0,,,,,,,,,33.4,54.12,,,,,,,,,,
77434,45.09,0,,,,,,,,,23.959999999999997,53.14,,,,,,,,,,
53955,44.18,0,,,,,,,,,26.94,60.98,,,,,,,,,,
79528,84.22,1,0.04371,kg_kp,g-3,26,1.21,43.71,11.79,55.5,60.33,71.63,,,,,,,,,,
63057,57.27,1,0.036,kg_kp,g-3,26,1,36,11.13,47.13,39.230000000000004,68.5,,,,,,,,,,
57131,74.77,1,0.03812,kg_kp,g-3,26,1.06,38.12,11,49.12,53.35,71.35,,,,,,,,,,
77441,71.26,1,0.03811,kg_kp,g-3,26,1.06,38.11,11,49.11,50.5,70.87,,,,,,,,,,
73617,51.18,1,0.03466,kg_kp,g-3,26,0.96,34.66,11.14,45.8,34.589999999999996,67.58,,,,,,,,,,
54984,1165.7,0,0.8058,kg,g-1,30,1.49,805.8,133,938.8,1119.9,96.07,,,,,,,,,,
66672,47.2,1,0.02286,kg_kp,g-3,26,0.63,22.86,11.82,34.68,22.88,48.47,,,,,,,,,,
71338,,0,0.774,kg,g-1,30,1.43,774,132.9,906.9,,,,,,,,,,,,
75668,36.79,0,,,,,,,,,8.84,24.03,,,,,,,,,,
53010,33.39,0,,,,,,,,,4.7299999999999995,14.17,,,,,,,,,,
80188,32.24,0,,,,,,,,,4.4399999999999995,13.77,,,,,,,,,,
69212,39.48,0,,,,,,,,,4.8,12.16,,,,,,,,,,
55185,34.64,0,,,,,,,,,3.9000000000000004,11.26,,,,,,,,,,
79639,24.2,0,,,,,,,,,2.9,11.98,,,,,,,,,,
59967,46.21,0,,,,,,,,,5.9,12.77,,,,,,,,,,
72251,71.68,0,,,,,,,,,10.440000000000001,14.56,,,,,,,,,,
51629,46.98,1,0.00626,kg_kp,g-3,26,0.17,6.26,11.12,17.38,6.6,14.05,,,,,,,,,,
60296,49.74,1,0.00701,kg_kp,g-3,26,0.19,7.01,10.98,17.99,7.0600000000000005,14.19,,,,,,,,,,
65694,41.24,1,0.00645,kg_kp,g-3,26,0.18,6.45,11.13,17.58,6.489999999999999,15.74,,,,,,,,,,
67156,53.68,1,0.00949,kg_kp,g-3,26,0.26,9.49,11.12,20.61,9.78,18.22,,,,,,,,,,
57766,80.62,1,0.01458,kg_kp,g-3,26,0.4,14.58,11.53,26.11,22.939999999999998,28.45,,,,,,,,,,
68159,81.99,1,0.02487,kg_kp,g-3,26,0.69,24.87,11.12,35.99,34.84,42.49,,,,,,,,,,
55992,,0,0.0252,kg_kp,g-2,11,0.53,25.2,26.83,52.03,,,,,,,,,,,,
56172,,0,0.031258,m^3,g-1,30,1,,,,,,31258,,,,,,,,,
63060,,0,,,,,,,,,,,,,,,,,,,,
65728,,0,0.07,m^2,g-3,1,0.16,0.225,11.0866,11.312,,,14758,,,,,,,,,
59162,,0,0.07,m^2,g-3,1,0.1,0.14,11.1311,11.2708,,,18584,,,,,,,,,
79024,,0,,,,,,,,,,,,,,,,,,,,
75591,1173.7,0,0.7191,kg,g-1,30,1.33,719.1,137.5,856.6,1101.6,93.86,,,,,,,,,,
60156,,0,0.005654,m^3,g-3,3,0.85,3.547,11.1229,14.6694,,,5654,,,,,,,,,
54708,1191.8,0,0.8467,kg,g-1,30,1.57,846.7,136.4,983.1,1169.8,98.15,,,,,,,,,,
73625,,0,0.005654,m^3,g-3,4,1.02,5.63,11.6695,17.2994,,,5654,,,,,,,,,
61930,,0,0.005638,m^3,g-3,2,1.12,3.108,11.658,14.766,,,5638,,,,,,,,,
69371,,0,0.5,m^2,g-3,21,0.22,6.29,11.84,18.13,,,,,,,,,,,,
80200,,0,0.5,m^2,g-3,1,0.23,0.32,11.13,11.45,,,58280,,,,,3.33,5,,,
50941,,0,,,,,,,,,,,,,,,,,,,,
56326,,0,,,,,,,,,,,,,,,,,,,,
78870,,0,,,,,,,,,,,6560,,,,,3.33,0.75,,,
52437,,0,,,,,,,,,,,4580,,,,,3.33,0.75,,,
69948,,0,,,,,,,,,,,4260,,,,,3.33,0.75,,,
65590,,0,,,,,,,,,,,8540,,,,,3.33,0.75,,,
68488,,0,,,,,,,,,,,3640,,,,,3.33,0.75,,,
64678,,0,,,,,,,,,,,2840,,,,,3.33,0.75,,,
68099,,0,,,,,,,,,,,3420,,,,,3.33,0.75,,,
65542,,1,0.02629,kg_kp,g-3,26,0.73,26.29,11.01,37.3,,,,,,,,,,,,
73733,,1,0.0366,kg_kp,g-3,26,1.02,36.6,11.67,48.27,,,,,,,,,,,,
76063,1602.17,0,1.59602,kg_tp,g-3,16,0.63,13.93,12.03,25.96,363.27,22.67,,,13.969999999999999,363.27,3.85,,,,,
53847,1062.12,0,1.05858,kg_tp,g-3,13,0.49,8.78,12.12,20.9,211.22000000000003,19.89,,,8.809999999999988,211.22,4.17,,,,,
52401,1140.66,0,1.13628,kg_tp,g-3,13,0.54,9.79,12.04,21.83,213.61,18.73,,,9.799999999999983,213.16,4.6,,,,,
